	essay_id	2gram-tf-idf
0	7	11
1	13	119
2	17	88
3	20	111
4	23	5
5	28	105
6	36	16
7	42	115
8	46	142
9	50	72
10	52	109
11	57	123
12	63	112
13	74	112
14	79	64
15	82	108
16	84	119
17	88	20
18	89	115
19	91	133
20	95	14
21	100	124
22	105	30
23	111	19
24	132	22
25	136	7
26	143	106
27	147	5
28	149	129
29	155	19
30	160	124
31	164	124
32	189	89
33	190	114
34	193	77
35	196	83
36	199	6
37	205	4
38	206	69
39	212	115
40	216	82
41	217	9
42	228	142
43	229	102
44	237	105
45	240	131
46	243	9
47	251	11
48	252	70
49	260	107
50	263	21
51	281	119
52	287	23
53	289	11
54	290	1
55	299	101
56	300	12
57	309	8
58	311	72
59	312	117
60	316	10
61	317	34
62	323	18
63	325	51
64	327	93
65	337	124
66	353	89
67	356	116
68	362	17
69	386	34
70	389	114
71	393	124
72	398	4
73	402	125
74	404	11
75	407	62
76	411	27
77	412	32
78	417	130
79	425	22
80	428	107
81	429	70
82	430	34
83	439	27
84	446	26
85	449	22
86	451	111
87	455	77
88	463	6
89	467	117
90	484	128
91	487	108
92	490	19
93	493	123
94	494	8
95	497	8
96	498	8
97	499	43
98	501	100
99	506	102
100	510	127
101	523	17
102	524	77
103	530	83
104	538	101
105	541	19
106	558	11
107	562	12
108	564	83
109	573	16
110	574	125
111	575	13
112	576	70
113	577	108
114	585	5
115	587	67
116	595	132
117	600	120
118	610	133
119	611	75
120	615	14
121	616	78
122	623	114
123	625	11
124	626	131
125	628	121
126	632	13
127	635	6
128	643	18
129	652	129
130	653	73
131	658	79
132	665	124
133	666	85
134	672	16
135	674	118
136	677	120
137	678	27
138	681	99
139	682	19
140	686	80
141	691	114
142	696	127
143	703	93
144	706	87
145	708	53
146	710	12
147	716	104
148	721	8
149	723	21
150	728	111
151	733	91
152	736	8
153	740	36
154	745	26
155	751	106
156	753	114
157	766	110
158	767	132
159	770	87
160	774	98
161	777	4
162	781	13
163	782	10
164	792	112
165	793	33
166	796	122
167	802	93
168	811	127
169	815	4
170	818	112
171	819	118
172	823	107
173	827	86
174	828	21
175	830	90
176	831	106
177	837	25
178	842	75
179	843	95
180	849	120
181	857	125
182	861	143
183	862	57
184	864	6
185	866	112
186	884	102
187	890	132
188	891	4
189	895	8
190	902	10
191	903	77
192	915	9
193	916	15
194	921	112
195	922	96
196	924	90
197	925	129
198	930	107
199	932	3
200	934	113
201	938	7
202	945	132
203	955	82
204	956	112
205	965	114
206	969	123
207	972	93
208	979	15
209	985	70
210	987	108
211	990	128
212	993	110
213	994	22
214	996	111
215	998	19
216	999	14
217	1006	19
218	1011	82
219	1012	121
220	1014	100
221	1029	9
222	1030	116
223	1040	112
224	1044	107
225	1050	7
226	1054	129
227	1056	119
228	1061	107
229	1069	90
230	1074	10
231	1089	81
232	1101	129
233	1107	56
234	1108	19
235	1111	11
236	1112	135
237	1117	116
238	1122	10
239	1127	110
240	1130	124
241	1132	101
242	1136	108
243	1148	14
244	1151	8
245	1169	6
246	1170	4
247	1171	1
248	1181	102
249	1182	109
250	1183	116
251	1185	124
252	1189	124
253	1200	6
254	1205	87
255	1207	8
256	1212	116
257	1215	19
258	1220	11
259	1223	23
260	1238	117
261	1239	9
262	1251	24
263	1264	99
264	1273	4
265	1275	99
266	1284	105
267	1290	84
268	1302	61
269	1303	87
270	1309	28
271	1315	7
272	1333	120
273	1335	111
274	1338	28
275	1353	102
276	1356	115
277	1368	113
278	1369	10
279	1370	130
280	1376	117
281	1381	115
282	1388	111
283	1389	33
284	1394	130
285	1399	99
286	1402	108
287	1405	82
288	1408	130
289	1412	94
290	1433	122
291	1434	66
292	1443	12
293	1445	126
294	1451	55
295	1457	119
296	1465	94
297	1466	124
298	1467	7
299	1470	15
300	1473	120
301	1475	122
302	1478	95
303	1479	105
304	1485	95
305	1493	25
306	1501	114
307	1517	97
308	1527	127
309	1530	84
310	1531	126
311	1536	96
312	1541	140
313	1542	6
314	1544	80
315	1546	18
316	1551	7
317	1555	46
318	1557	47
319	1564	91
320	1568	143
321	1587	28
322	1611	12
323	1618	119
324	1623	10
325	1626	30
326	1629	12
327	1636	19
328	1637	129
329	1639	18
330	1642	117
331	1653	106
332	1654	24
333	1660	90
334	1673	73
335	1675	19
336	1679	117
337	1683	141
338	1689	129
339	1691	12
340	1698	26
341	1700	18
342	1704	82
343	1718	100
344	1719	77
345	1734	10
346	1735	104
347	1738	110
348	1740	92
349	1741	117
350	1742	114
351	1754	8
352	1767	66
353	1775	97
354	1776	96
355	1781	24
356	1785	120
357	5984	37
358	5990	107
359	5994	93
360	6005	119
361	6014	121
362	6020	113
363	6024	58
364	6035	73
365	6041	43
366	6052	114
367	6055	99
368	6057	111
369	6062	75
370	6066	57
371	6067	59
372	6069	95
373	6078	65
374	6089	126
375	6099	51
376	6110	82
377	6112	76
378	6114	25
379	6121	125
380	6125	56
381	6127	143
382	6133	46
383	6138	95
384	6142	116
385	6165	130
386	6167	42
387	6168	99
388	6171	118
389	6174	72
390	6177	134
391	6179	24
392	6184	57
393	6190	121
394	6194	136
395	6195	92
396	6206	50
397	6207	25
398	6218	84
399	6221	93
400	6229	34
401	6230	33
402	6241	49
403	6259	63
404	6265	75
405	6268	156
406	6277	25
407	6278	67
408	6289	62
409	6290	58
410	6293	94
411	6294	105
412	6300	122
413	6302	80
414	6304	50
415	6310	122
416	6314	47
417	6328	88
418	6329	91
419	6332	19
420	6338	124
421	6362	80
422	6369	55
423	6374	121
424	6378	126
425	6380	75
426	6383	84
427	6387	111
428	6388	118
429	6398	78
430	6400	76
431	6401	56
432	6404	86
433	6405	85
434	6406	108
435	6415	86
436	6418	112
437	6421	52
438	6422	20
439	6425	51
440	6431	51
441	6432	127
442	6439	75
443	6441	118
444	6443	110
445	6460	114
446	6463	86
447	6466	105
448	6469	67
449	6470	97
450	6473	50
451	6474	120
452	6475	45
453	6477	75
454	6481	31
455	6482	31
456	6491	146
457	6495	59
458	6499	48
459	6504	86
460	6507	124
461	6515	62
462	6516	134
463	6517	50
464	6534	60
465	6538	65
466	6542	113
467	6549	129
468	6551	99
469	6552	50
470	6553	114
471	6554	118
472	6556	63
473	6572	106
474	6577	58
475	6579	105
476	6587	75
477	6588	28
478	6600	104
479	6603	58
480	6609	66
481	6611	43
482	6615	84
483	6618	55
484	6634	54
485	6639	83
486	6640	60
487	6641	63
488	6649	25
489	6651	120
490	6654	110
491	6655	119
492	6665	71
493	6668	45
494	6677	118
495	6683	98
496	6685	72
497	6687	113
498	6691	62
499	6699	109
500	6703	51
501	6705	130
502	6706	109
503	6713	78
504	6717	112
505	6722	54
506	6726	92
507	6739	104
508	6741	138
509	6743	59
510	6744	109
511	6747	76
512	6751	115
513	6758	102
514	6759	46
515	6769	83
516	6770	116
517	6779	124
518	6784	60
519	6788	60
520	6790	86
521	6792	89
522	6799	38
523	6803	83
524	6805	133
525	6806	94
526	6807	73
527	6813	77
528	6814	85
529	6825	102
530	6826	101
531	6832	71
532	6838	123
533	6839	66
534	6841	46
535	6843	99
536	6850	68
537	6852	124
538	6861	43
539	6867	66
540	6868	106
541	6870	70
542	6871	107
543	6878	86
544	6882	74
545	6884	79
546	6899	119
547	6902	57
548	6905	45
549	6907	33
550	6908	92
551	6916	50
552	6917	98
553	6922	48
554	6923	96
555	6924	104
556	6940	123
557	6942	74
558	6951	20
559	6953	66
560	6960	79
561	6964	69
562	6965	123
563	6975	71
564	6990	68
565	6992	71
566	7008	88
567	7009	35
568	7016	52
569	7021	98
570	7022	100
571	7029	140
572	7038	62
573	7040	127
574	7046	13
575	7055	66
576	7061	77
577	7064	83
578	7066	120
579	7071	47
580	7074	66
581	7078	58
582	7081	68
583	7086	61
584	7089	123
585	7090	48
586	7093	72
587	7097	54
588	7104	70
589	7106	79
590	7108	63
591	7110	81
592	7112	14
593	7119	17
594	7122	77
595	7138	57
596	7143	33
597	7148	85
598	7151	122
599	7159	112
600	7166	88
601	7177	93
602	7185	115
603	7186	130
604	7189	55
605	7190	112
606	7197	130
607	7201	35
608	7202	128
609	7208	48
610	7212	140
611	7232	20
612	7237	71
613	7240	120
614	7246	107
615	7250	89
616	7254	15
617	7255	97
618	7258	49
619	7261	105
620	7263	101
621	7267	43
622	7307	149
623	7317	124
624	7320	90
625	7337	71
626	7341	44
627	7350	73
628	7353	113
629	7356	60
630	7361	108
631	7364	117
632	7365	73
633	7377	105
634	7380	114
635	7391	109
636	7401	99
637	7402	92
638	7414	44
639	7415	115
640	7418	102
641	7423	29
642	7436	84
643	7445	39
644	7449	112
645	7456	124
646	7458	51
647	7460	42
648	7470	106
649	7471	35
650	7474	86
651	7477	45
652	7480	151
653	7481	65
654	7482	90
655	7487	135
656	7491	133
657	7495	88
658	7514	122
659	7518	57
660	7520	39
661	7522	98
662	7526	104
663	7527	11
664	7534	130
665	7535	45
666	7548	118
667	7553	87
668	7561	112
669	7562	64
670	7563	125
671	7566	52
672	7577	55
673	7588	144
674	7596	118
675	7598	110
676	7602	70
677	7605	111
678	7608	105
679	7612	59
680	7614	108
681	7620	92
682	7622	116
683	7633	23
684	7634	82
685	7639	56
686	7640	67
687	7644	47
688	7661	71
689	7670	42
690	7672	129
691	7673	29
692	7675	63
693	7680	127
694	7685	110
695	7688	128
696	7691	75
697	7692	125
698	7693	125
699	7694	118
700	7695	57
701	7696	131
702	2984	10
703	2990	5
704	2994	25
705	2997	99
706	3000	117
707	3005	72
708	3013	19
709	3023	87
710	3027	100
711	3028	7
712	3029	99
713	3040	10
714	3051	11
715	3056	131
716	3059	64
717	3061	82
718	3065	102
719	3066	67
720	3068	118
721	3072	13
722	3082	96
723	3088	120
724	3109	11
725	3113	107
726	3120	66
727	3124	49
728	3126	15
729	3132	115
730	3137	123
731	3141	86
732	3166	22
733	3167	111
734	3170	95
735	3173	22
736	3176	11
737	3182	125
738	3183	103
739	3186	119
740	3189	16
741	3193	90
742	3194	32
743	3206	47
744	3214	8
745	3217	7
746	3220	18
747	3229	5
748	3237	80
749	3240	103
750	3248	111
751	3258	8
752	3264	112
753	3266	10
754	3267	105
755	3276	19
756	3277	5
757	3286	28
758	3288	84
759	3289	124
760	3292	24
761	3293	93
762	3299	18
763	3301	75
764	3328	121
765	3331	8
766	3337	6
767	3361	26
768	3368	74
769	3373	126
770	3374	112
771	3377	71
772	3379	106
773	3382	122
774	3387	54
775	3392	114
776	3400	9
777	3403	79
778	3404	73
779	3405	13
780	3421	16
781	3430	104
782	3431	132
783	3438	91
784	3458	39
785	3459	95
786	3464	42
787	3465	119
788	3468	54
789	3469	17
790	3472	131
791	3473	33
792	3474	25
793	3481	93
794	3498	85
795	3499	123
796	3507	59
797	3512	9
798	3516	23
799	3533	74
800	3536	113
801	3537	34
802	3541	82
803	3548	96
804	3550	11
805	3552	69
806	3553	100
807	3555	6
808	3557	111
809	3562	112
810	3565	17
811	3567	72
812	3570	18
813	3575	3
814	3576	130
815	3585	131
816	3598	112
817	3600	36
818	3601	15
819	3603	108
820	3606	40
821	3607	16
822	3612	96
823	3614	16
824	3616	89
825	3621	43
826	3622	19
827	3631	84
828	3633	107
829	3640	24
830	3641	100
831	3642	98
832	3649	28
833	3652	12
834	3656	48
